symbol,datetime,open,high,low,close,volume,DERIVATIVE_TYPE,YEAR,MONTH,DATE,TIME,expiry,option_type,strike,open_interest,ATM
NIFTY,2026-02-18 09:15:00,25752.0,25770.0,25737.4,25739.3,38740,F,2026.0,2.0,2026-02-18,09:15:59,I,,,15441335.0,
NIFTY,2026-02-18 09:16:00,25734.7,25737.8,25725.1,25737.6,18720,F,2026.0,2.0,2026-02-18,09:16:59,I,,,15445820.0,
NIFTY,2026-02-18 09:17:00,25737.6,25747.7,25733.0,25743.6,14040,F,2026.0,2.0,2026-02-18,09:17:59,I,,,15445820.0,
NIFTY,2026-02-18 09:18:00,25745.0,25750.2,25736.1,25745.0,26780,F,2026.0,2.0,2026-02-18,09:18:59,I,,,15445820.0,
NIFTY,2026-02-18 09:19:00,25745.0,25760.0,25745.0,25752.6,18525,F,2026.0,2.0,2026-02-18,09:19:59,I,,,15474030.0,
NIFTY,2026-02-18 09:20:00,25752.6,25755.3,25736.2,25742.2,7995,F,2026.0,2.0,2026-02-18,09:20:59,I,,,15474030.0,
NIFTY,2026-02-18 09:21:00,25738.0,25743.9,25727.3,25738.0,16055,F,2026.0,2.0,2026-02-18,09:21:59,I,,,15474030.0,
NIFTY,2026-02-18 09:22:00,25738.0,25743.5,25730.5,25731.4,5915,F,2026.0,2.0,2026-02-18,09:22:59,I,,,15474875.0,
NIFTY,2026-02-18 09:23:00,25731.4,25740.0,25720.3,25725.0,33930,F,2026.0,2.0,2026-02-18,09:23:59,I,,,15474875.0,
NIFTY,2026-02-18 09:24:00,25725.0,25730.0,25716.0,25716.0,7085,F,2026.0,2.0,2026-02-18,09:24:59,I,,,15474875.0,
NIFTY,2026-02-18 09:25:00,25718.0,25740.0,25712.7,25738.4,14300,F,2026.0,2.0,2026-02-18,09:25:59,I,,,15506660.0,
NIFTY,2026-02-18 09:26:00,25738.4,25739.9,25728.7,25735.0,10790,F,2026.0,2.0,2026-02-18,09:26:59,I,,,15506660.0,
NIFTY,2026-02-18 09:27:00,25735.0,25750.0,25735.0,25750.0,14040,F,2026.0,2.0,2026-02-18,09:27:59,I,,,15506660.0,
NIFTY,2026-02-18 09:28:00,25750.0,25752.0,25732.0,25732.0,12090,F,2026.0,2.0,2026-02-18,09:28:59,I,,,15498535.0,
NIFTY,2026-02-18 09:29:00,25732.0,25744.3,25731.4,25740.0,15210,F,2026.0,2.0,2026-02-18,09:29:59,I,,,15498535.0,
NIFTY,2026-02-18 09:30:00,25740.7,25743.3,25732.0,25736.0,17940,F,2026.0,2.0,2026-02-18,09:30:59,I,,,15498535.0,
NIFTY,2026-02-18 09:31:00,25736.0,25736.0,25725.1,25725.1,11310,F,2026.0,2.0,2026-02-18,09:31:59,I,,,15487095.0,
NIFTY,2026-02-18 09:32:00,25725.1,25740.0,25721.7,25727.6,15340,F,2026.0,2.0,2026-02-18,09:32:59,I,,,15487095.0,
NIFTY,2026-02-18 09:33:00,25727.6,25750.0,25727.6,25736.3,37050,F,2026.0,2.0,2026-02-18,09:33:59,I,,,15487095.0,
NIFTY,2026-02-18 09:34:00,25746.2,25746.2,25731.8,25742.5,10010,F,2026.0,2.0,2026-02-18,09:34:59,I,,,15537600.0,
NIFTY,2026-02-18 09:35:00,25742.5,25749.9,25735.9,25749.6,7215,F,2026.0,2.0,2026-02-18,09:35:59,I,,,15537600.0,
NIFTY,2026-02-18 09:36:00,25749.6,25754.2,25738.4,25754.2,34775,F,2026.0,2.0,2026-02-18,09:36:59,I,,,15537600.0,
NIFTY,2026-02-18 09:37:00,25754.2,25755.0,25747.5,25754.0,6955,F,2026.0,2.0,2026-02-18,09:37:59,I,,,15559700.0,
NIFTY,2026-02-18 09:38:00,25754.0,25755.2,25752.0,25755.0,2665,F,2026.0,2.0,2026-02-18,09:38:59,I,,,15559700.0,
NIFTY,2026-02-18 09:39:00,25756.0,25759.0,25749.2,25752.1,10855,F,2026.0,2.0,2026-02-18,09:39:59,I,,,15559700.0,
NIFTY,2026-02-18 09:40:00,25752.1,25757.4,25745.0,25750.1,8060,F,2026.0,2.0,2026-02-18,09:40:59,I,,,15561715.0,
NIFTY,2026-02-18 09:41:00,25750.1,25760.0,25750.1,25760.0,6305,F,2026.0,2.0,2026-02-18,09:41:59,I,,,15561715.0,
NIFTY,2026-02-18 09:42:00,25760.0,25761.2,25745.9,25745.9,4030,F,2026.0,2.0,2026-02-18,09:42:59,I,,,15561715.0,
NIFTY,2026-02-18 09:43:00,25745.9,25755.8,25745.9,25755.0,1950,F,2026.0,2.0,2026-02-18,09:43:59,I,,,15546830.0,
NIFTY,2026-02-18 09:44:00,25755.8,25763.8,25753.0,25755.0,2925,F,2026.0,2.0,2026-02-18,09:44:59,I,,,15546830.0,
